|                                                                fullyQualifiedName                                                                |      pattern       |
| org.apache.hadoop.hdfs.TestDistributedFileSystem.testLocatedFileStatusStorageIdsTypes                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestDistributedFileSystemWithECFile.testListECFilesSmallerThanOneCell                                                     | unbound-collection |
| org.apache.hadoop.hdfs.TestEncryptedTransfer.data                                                                                                | unbound-collection |
| org.apache.hadoop.hdfs.TestEncryptedTransfer.testLongLivedClientPipelineRecovery                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestEncryptedTransfer.writeTestDataToFile                                                                                 | unbound-collection |
| org.apache.hadoop.hdfs.TestEncryptionZones.appendOneByte                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestEncryptionZones.testSnapshotsOnEncryptionZones                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestErasureCodingExerciseAPIs.testAppend                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testAppend2AfterSoftLimit                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testAppend2Twice                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testAppendAfterSoftLimit                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testAppendTwice                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testConcurrentAppendRead                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testFailedAppendBlockRejection                                                                             | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testFileNotFound                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testMultiAppend2                                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend.testMultipleAppends                                                                                        | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend2$Workload.run                                                                                              | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend2.testAppendLessThanChecksumChunk                                                                           | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend2.testComplexAppend                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend2.testSimpleAppend                                                                                          | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend2.testSimpleAppend2                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.doSmallAppends                                                                                            | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testAppendToPartialChunk                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC1                                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC11                                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC12                                                                                                  | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC1ForAppend2                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC2                                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC2ForAppend2                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC5                                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC5ForAppend2                                                                                         | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend3.testTC7                                                                                                   | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend4.recoverFile                                                                                               | unbound-collection |
| org.apache.hadoop.hdfs.TestFileAppend4.testAppendInsufficientLocations                                                                           | unbound-collection |
