|                                                                                  fullyQualifiedName                                                                                   |      pattern       |
| org.apache.ignite.internal.ClassSetTest.testAddAndContains                                                                                                                            | unbound-collection |
| org.apache.ignite.internal.ClassSetTest.testAddWithMaskAndContains                                                                                                                    | unbound-collection |
| org.apache.ignite.internal.ClassSetTest.testReduceOnAddWithMask                                                                                                                       | unbound-collection |
| org.apache.ignite.internal.ClusterGroupAbstractTest$TestTask.split                                                                                                                    | unbound-collection |
| org.apache.ignite.internal.ClusterGroupAbstractTest.checkActiveFutures                                                                                                                | unbound-collection |
| org.apache.ignite.internal.ClusterGroupAbstractTest.projectionNodeIds                                                                                                                 | unbound-collection |
| org.apache.ignite.internal.ClusterGroupAbstractTest.testExecution                                                                                                                     | unbound-collection |
| org.apache.ignite.internal.ClusterGroupAbstractTest.testInvalidProjection                                                                                                             | unbound-collection |
| org.apache.ignite.internal.ClusterGroupHostsSelfTest.testHostNames                                                                                                                    | unbound-collection |
| org.apache.ignite.internal.ClusterMetricsMXBeanImpl.attributeValues                                                                                                                   | unbound-collection |
| org.apache.ignite.internal.ClusterMetricsMXBeanImpl.nodeIdsForAttribute                                                                                                               | unbound-collection |
| org.apache.ignite.internal.DiagnosticLogForPartitionStatesTest.doTest                                                                                                                 | unbound-collection |
| org.apache.ignite.internal.DiscoverySpiTestListener.beforeSendCustomEvent                                                                                                             | unbound-collection |
| org.apache.ignite.internal.DiscoverySpiTestListener.blockCustomEvent                                                                                                                  | unbound-collection |
| org.apache.ignite.internal.GridAlwaysFailoverSpiFailSelfTest$GridTestFailoverTask.split                                                                                               | unbound-collection |
| org.apache.ignite.internal.GridCancelUnusedJobSelfTest$GridCancelTestTask.split                                                                                                       | unbound-collection |
| org.apache.ignite.internal.GridCancelledJobsMetricsSelfTest.testCancelledJobs                                                                                                         | unbound-collection |
| org.apache.ignite.internal.GridCommunicationSelfTest$GridTestCommunicationMessage.toString                                                                                            | unbound-collection |
| org.apache.ignite.internal.GridContinuousTaskSelfTest$SessionChainTestTask.split                                                                                                      | unbound-collection |
| org.apache.ignite.internal.GridDiscoverySelfTest.printNodes                                                                                                                           | unbound-collection |
| org.apache.ignite.internal.GridDiscoverySelfTest.testCacheNodes                                                                                                                       | unbound-collection |
| org.apache.ignite.internal.GridEventStorageRuntimeConfigurationSelfTest.getEnabledEvents                                                                                              | unbound-collection |
| org.apache.ignite.internal.GridEventStorageSelfTest$GridInternalTestTask.split                                                                                                        | unbound-collection |
| org.apache.ignite.internal.GridFactorySelfTest$TestLifecycleBean.onLifecycleEvent                                                                                                     | unbound-collection |
| org.apache.ignite.internal.GridJobCollisionCancelSelfTest$GridCancelTestTask.split                                                                                                    | unbound-collection |
| org.apache.ignite.internal.GridJobContextSelfTest$JobContextTask.split                                                                                                                | unbound-collection |
| org.apache.ignite.internal.GridJobMasterLeaveAwareSelfTest$TestTask.split                                                                                                             | unbound-collection |
| org.apache.ignite.internal.GridJobStealingSelfTest$GridJobStealingJob.execute                                                                                                         | unbound-collection |
| org.apache.ignite.internal.GridKernalContextImpl.add                                                                                                                                  | unbound-collection |
| org.apache.ignite.internal.GridLifecycleAwareSelfTest.getConfiguration                                                                                                                | unbound-collection |
| org.apache.ignite.internal.GridMultithreadedJobStealingSelfTest$JobStealingTask.reduce                                                                                                | unbound-collection |
| org.apache.ignite.internal.GridNodeMetricsLogSelfTest.checkDataRegionsMetrics                                                                                                         | unbound-collection |
| org.apache.ignite.internal.GridNonHistoryMetricsSelfTest$TestTask.split                                                                                                               | unbound-collection |
| org.apache.ignite.internal.GridProjectionForCachesSelfTest.getConfiguration                                                                                                           | unbound-collection |
| org.apache.ignite.internal.GridProjectionLocalJobMultipleArgumentsSelfTest.testAffinityCall                                                                                           | unbound-collection |
| org.apache.ignite.internal.GridReduceSelfTest.closures                                                                                                                                | unbound-collection |
| org.apache.ignite.internal.GridTaskContinuousMapperSelfTest$TestAllMethodsTask.map                                                                                                    | unbound-collection |
